epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4634.18,0.72804,1.05314,0.59389,0.98422,0.76678,0.68662,0.71773,0.4853,0.65595,0.58191,0.50159,0.14971,1.21681,1.28494,1.15377,1.25819,0.00835943,0.00835943,0.00835943
31,4787.51,0.71808,1.03827,0.5797,0.97771,0.80578,0.70281,0.73245,0.49165,0.70041,0.59152,0.5356,0.1551,1.20221,1.26031,1.12193,1.28893,0.00830286,0.00830286,0.00830286
32,4941.09,0.70544,1.02096,0.57629,0.97786,0.74944,0.67268,0.67034,0.45202,0.6576,0.57831,0.49251,0.15539,1.17882,1.29426,1.10782,1.16599,0.00824629,0.00824629,0.00824629
33,5094.45,0.70556,1.03062,0.56901,0.97705,0.82258,0.71888,0.71524,0.49666,0.73659,0.62249,0.56149,0.18062,1.18052,1.24466,1.1586,1.26863,0.00818971,0.00818971,0.00818971
34,5247.98,0.69769,1.01644,0.56971,0.97229,0.80299,0.70388,0.74373,0.53721,0.70808,0.59839,0.53477,0.15534,1.13017,1.3052,1.06098,1.19074,0.00813314,0.00813314,0.00813314
35,5401.38,0.69607,1.0189,0.56285,0.97652,0.74701,0.69963,0.70308,0.47705,0.67948,0.56627,0.51179,0.14773,1.1877,1.30063,1.12622,1.21269,0.00807657,0.00807657,0.00807657
36,5554.83,0.68921,1.01128,0.55288,0.97167,0.77961,0.69478,0.70303,0.4723,0.72185,0.61044,0.56258,0.16648,1.1761,1.274,1.12771,1.20956,0.00802,0.00802,0.00802
37,5708.95,0.67764,1.00278,0.55084,0.96302,0.78658,0.68086,0.7005,0.48612,0.73687,0.64257,0.57671,0.17401,1.11823,1.23836,1.13966,1.18494,0.00796343,0.00796343,0.00796343
38,5862.17,0.6704,1.00214,0.54717,0.9643,0.7091,0.73421,0.67604,0.47675,0.61179,0.63924,0.51901,0.15074,1.10519,1.27454,1.08627,1.18524,0.00790686,0.00790686,0.00790686
39,6015.44,0.67947,1.00171,0.5541,0.96679,0.79181,0.6568,0.66566,0.44345,0.66893,0.54618,0.48608,0.14262,1.17652,1.22686,1.3036,1.22896,0.00785029,0.00785029,0.00785029
40,6168.54,0.66844,0.98896,0.54019,0.96796,0.7842,0.7297,0.70619,0.49075,0.69356,0.64536,0.54984,0.16026,1.15381,1.22797,1.12235,1.2271,0.00779371,0.00779371,0.00779371
41,6321.8,0.65943,0.97376,0.5312,0.96134,0.79611,0.72135,0.73761,0.52072,0.69533,0.6141,0.57076,0.1811,1.11565,1.23608,1.08729,1.18848,0.00773714,0.00773714,0.00773714
42,6475.18,0.66032,0.96716,0.53973,0.96272,0.77966,0.69633,0.71839,0.49448,0.70838,0.61847,0.56414,0.17263,1.15961,1.2506,1.13383,1.23827,0.00768057,0.00768057,0.00768057
43,6628.49,0.65391,0.96024,0.53533,0.95755,0.78334,0.73092,0.73655,0.52772,0.68523,0.67319,0.6012,0.17727,1.1021,1.21542,1.05286,1.18169,0.007624,0.007624,0.007624
44,6781.54,0.65538,0.9667,0.53413,0.96315,0.75306,0.7226,0.69488,0.48327,0.71337,0.59971,0.55905,0.163,1.07717,1.25585,1.12518,1.16961,0.00756743,0.00756743,0.00756743
45,6934.76,0.64775,0.96346,0.53088,0.95415,0.75449,0.6747,0.68496,0.4593,0.67903,0.59472,0.51302,0.15098,1.19576,1.30816,1.09641,1.2518,0.00751086,0.00751086,0.00751086
46,7088.94,0.64854,0.9501,0.52868,0.95945,0.75289,0.71486,0.70584,0.49202,0.67425,0.60241,0.52342,0.15958,1.15589,1.23983,1.10117,1.23184,0.00745429,0.00745429,0.00745429
47,7242.4,0.63128,0.94542,0.50773,0.9502,0.75141,0.73092,0.72286,0.50036,0.65298,0.61446,0.54038,0.16526,1.09269,1.19979,1.10594,1.15485,0.00739771,0.00739771,0.00739771
48,7396.16,0.63574,0.92818,0.51404,0.9564,0.80148,0.71344,0.72158,0.49972,0.68716,0.58635,0.52582,0.17074,1.15661,1.22448,1.07909,1.19987,0.00734114,0.00734114,0.00734114
