epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4371.23,1.46312,1.44903,1.57236,0.62064,0.79386,0.70404,0.34354,1.69667,1.32369,1.71185,0.00091175,0.00091175,0.00091175
43,4475.31,1.45244,1.45627,1.56501,0.63452,0.77519,0.70369,0.34883,1.64377,1.43247,1.69417,0.0009035,0.0009035,0.0009035
44,4579.14,1.45404,1.46106,1.54734,0.59644,0.68532,0.65912,0.3598,1.64246,1.31829,1.70135,0.00089525,0.00089525,0.00089525
45,4683,1.46358,1.45641,1.55791,0.64949,0.73808,0.71149,0.3392,1.75698,1.44163,1.75344,0.000887,0.000887,0.000887
46,4785.55,1.4208,1.45159,1.53921,0.55271,0.75928,0.66301,0.30752,1.74007,1.42207,1.7855,0.00087875,0.00087875,0.00087875
47,4888.62,1.4452,1.45621,1.55679,0.64631,0.75436,0.79127,0.41769,1.57916,1.24619,1.64523,0.0008705,0.0008705,0.0008705
48,4992.96,1.41619,1.39395,1.54487,0.56525,0.778,0.67325,0.33825,1.70012,1.38049,1.70592,0.00086225,0.00086225,0.00086225
49,5096.25,1.40878,1.43004,1.5369,0.60555,0.73397,0.69212,0.34844,1.63394,1.43088,1.69581,0.000854,0.000854,0.000854
50,5199.77,1.4065,1.34932,1.54235,0.69918,0.75893,0.7531,0.37997,1.64269,1.27989,1.6766,0.00084575,0.00084575,0.00084575
51,5302.85,1.41115,1.4126,1.52637,0.67461,0.67058,0.70785,0.3317,1.69486,1.43593,1.73579,0.0008375,0.0008375,0.0008375
52,5405.87,1.41196,1.44204,1.5416,0.67396,0.71844,0.76394,0.39002,1.60266,1.36543,1.68634,0.00082925,0.00082925,0.00082925
53,5509.57,1.37761,1.39258,1.50375,0.71406,0.66668,0.74114,0.36109,1.68835,1.39867,1.7601,0.000821,0.000821,0.000821
54,5612.92,1.42637,1.38558,1.51761,0.69436,0.73603,0.77279,0.38588,1.5975,1.30505,1.66973,0.00081275,0.00081275,0.00081275
55,5716.23,1.41585,1.3935,1.52965,0.67838,0.80954,0.77135,0.40823,1.63536,1.24979,1.67283,0.0008045,0.0008045,0.0008045
56,5819.17,1.39584,1.3842,1.52208,0.62422,0.64957,0.66618,0.31218,1.76287,1.53195,1.78477,0.00079625,0.00079625,0.00079625
57,5922.65,1.41347,1.36051,1.51775,0.58595,0.75736,0.72675,0.35928,1.6718,1.32005,1.69987,0.000788,0.000788,0.000788
58,6026.18,1.41317,1.34433,1.5018,0.62425,0.76006,0.74379,0.37949,1.66239,1.24384,1.66211,0.00077975,0.00077975,0.00077975
59,6129.7,1.4031,1.37264,1.5143,0.62415,0.73614,0.72584,0.35551,1.66977,1.33312,1.69952,0.0007715,0.0007715,0.0007715
60,6232.65,1.38158,1.32055,1.51108,0.5984,0.71221,0.69894,0.32819,1.64796,1.36914,1.64993,0.00076325,0.00076325,0.00076325
61,6336.13,1.37491,1.34177,1.50546,0.62527,0.74279,0.71794,0.37063,1.61865,1.35935,1.66215,0.000755,0.000755,0.000755
62,6439.47,1.39421,1.32997,1.49992,0.76865,0.72749,0.81171,0.4399,1.51498,1.14692,1.61313,0.00074675,0.00074675,0.00074675
63,6543.51,1.32792,1.28717,1.48592,0.70991,0.65699,0.76526,0.39131,1.59895,1.19923,1.66621,0.0007385,0.0007385,0.0007385
64,6646.51,1.37789,1.34757,1.50438,0.57739,0.66408,0.62153,0.26137,1.86184,1.55083,1.79126,0.00073025,0.00073025,0.00073025
65,6749.83,1.36684,1.31425,1.48702,0.68817,0.78546,0.76931,0.41011,1.61423,1.15185,1.62937,0.000722,0.000722,0.000722
66,6853.23,1.381,1.32104,1.49623,0.67414,0.70135,0.74906,0.41317,1.62229,1.21935,1.62996,0.00071375,0.00071375,0.00071375
67,6956.95,1.36523,1.3454,1.48533,0.67025,0.75385,0.73943,0.37984,1.54186,1.26235,1.62876,0.0007055,0.0007055,0.0007055
68,7060.48,1.31621,1.29052,1.45421,0.71936,0.75429,0.80559,0.40318,1.60876,1.22953,1.66509,0.00069725,0.00069725,0.00069725
69,7164.01,1.33967,1.30272,1.47585,0.67212,0.71809,0.77395,0.41688,1.50652,1.20873,1.59319,0.000689,0.000689,0.000689
70,7267.48,1.33016,1.25698,1.46669,0.7243,0.72851,0.77179,0.4083,1.56975,1.24651,1.64307,0.00068075,0.00068075,0.00068075
71,7371.1,1.3402,1.30115,1.48155,0.65505,0.70602,0.71934,0.38862,1.55182,1.29825,1.61551,0.0006725,0.0006725,0.0006725
72,7474.57,1.36587,1.3112,1.47505,0.72656,0.77731,0.79696,0.43983,1.4819,1.13911,1.56381,0.00066425,0.00066425,0.00066425
73,7578.3,1.34119,1.29683,1.47534,0.687,0.78583,0.79833,0.42529,1.55272,1.21598,1.61072,0.000656,0.000656,0.000656
74,7681.5,1.31919,1.24957,1.4586,0.7985,0.78551,0.84338,0.45252,1.5431,1.10193,1.60205,0.00064775,0.00064775,0.00064775
75,7785.99,1.31064,1.2608,1.44873,0.74785,0.79892,0.81892,0.4499,1.49585,1.15912,1.54039,0.0006395,0.0006395,0.0006395
76,7889.69,1.33045,1.27667,1.49048,0.66624,0.72894,0.76866,0.40643,1.5472,1.20505,1.60705,0.00063125,0.00063125,0.00063125
77,7993.18,1.3399,1.24645,1.46401,0.56158,0.75128,0.64604,0.33593,1.6589,1.3268,1.64575,0.000623,0.000623,0.000623
78,8096.67,1.31335,1.21884,1.44383,0.74381,0.77503,0.81643,0.44959,1.54384,1.10711,1.58929,0.00061475,0.00061475,0.00061475
79,8200.38,1.32681,1.22942,1.45393,0.65127,0.64942,0.64155,0.30456,1.86247,1.36639,1.80363,0.0006065,0.0006065,0.0006065
80,8303.84,1.29196,1.18638,1.43698,0.73058,0.79148,0.80005,0.43658,1.52145,1.14122,1.62055,0.00059825,0.00059825,0.00059825
81,8407.32,1.30556,1.21985,1.45466,0.68476,0.69831,0.77056,0.39755,1.5718,1.21527,1.64544,0.00059,0.00059,0.00059
82,8510.7,1.3005,1.22487,1.43232,0.72872,0.79025,0.7736,0.42052,1.49037,1.2017,1.58309,0.00058175,0.00058175,0.00058175
83,8614.04,1.28679,1.20805,1.43439,0.72764,0.72664,0.79934,0.43802,1.48415,1.18613,1.54498,0.0005735,0.0005735,0.0005735
84,8717.33,1.31139,1.19606,1.45774,0.73977,0.83499,0.80582,0.44239,1.57454,1.13279,1.54395,0.00056525,0.00056525,0.00056525
85,8820.87,1.29732,1.21111,1.44689,0.74024,0.76393,0.80529,0.44678,1.60305,1.15688,1.60999,0.000557,0.000557,0.000557
86,8924.18,1.30027,1.19758,1.43861,0.70012,0.77839,0.79035,0.41141,1.58419,1.15263,1.65189,0.00054875,0.00054875,0.00054875
87,9027.57,1.29027,1.19107,1.43875,0.7556,0.78495,0.8306,0.44792,1.54353,1.08228,1.62579,0.0005405,0.0005405,0.0005405
88,9130.83,1.27888,1.15989,1.42343,0.75316,0.70243,0.78636,0.42894,1.54214,1.12906,1.5871,0.00053225,0.00053225,0.00053225
89,9234.19,1.29115,1.19706,1.44444,0.74315,0.7653,0.79763,0.42349,1.52192,1.105,1.54619,0.000524,0.000524,0.000524
90,9337.31,1.25883,1.17525,1.41262,0.71773,0.72838,0.79202,0.43436,1.47958,1.09481,1.56838,0.00051575,0.00051575,0.00051575
91,9441.22,1.25654,1.1903,1.42098,0.63752,0.7971,0.74148,0.3831,1.60107,1.16727,1.61874,0.0005075,0.0005075,0.0005075
92,9544.46,1.26378,1.19078,1.41259,0.71537,0.74107,0.78613,0.4165,1.5187,1.08429,1.58593,0.00049925,0.00049925,0.00049925
93,9648.07,1.26721,1.17753,1.41855,0.78406,0.7507,0.84579,0.46745,1.48471,1.06915,1.53381,0.000491,0.000491,0.000491
94,9752.31,1.29327,1.16333,1.44541,0.79159,0.80774,0.85556,0.47401,1.50452,1.0207,1.55639,0.00048275,0.00048275,0.00048275
95,9856.41,1.25616,1.1436,1.40535,0.7785,0.73782,0.83406,0.4887,1.4522,1.09162,1.53843,0.0004745,0.0004745,0.0004745
96,9960.39,1.23856,1.14609,1.41696,0.73497,0.78569,0.80312,0.45892,1.53164,1.08984,1.59792,0.00046625,0.00046625,0.00046625
97,10063.7,1.25436,1.14312,1.41266,0.81115,0.7479,0.84312,0.46212,1.51433,1.06823,1.57537,0.000458,0.000458,0.000458
98,10166.8,1.26908,1.13668,1.42377,0.80204,0.77276,0.86894,0.48086,1.49555,1.03762,1.55355,0.00044975,0.00044975,0.00044975
99,10270.4,1.26892,1.11912,1.41332,0.75282,0.78755,0.83306,0.45025,1.52145,1.0491,1.57722,0.0004415,0.0004415,0.0004415
100,10373.5,1.25245,1.11469,1.40131,0.7927,0.71237,0.80976,0.44541,1.53482,1.08977,1.52985,0.00043325,0.00043325,0.00043325
101,10476.7,1.24277,1.11484,1.39238,0.73687,0.81339,0.84194,0.48216,1.46633,0.99425,1.53393,0.000425,0.000425,0.000425
102,10580.7,1.26131,1.14964,1.40292,0.75709,0.7857,0.84924,0.47131,1.4595,1.09396,1.55484,0.00041675,0.00041675,0.00041675
103,10684.2,1.23409,1.12594,1.3988,0.76572,0.76702,0.80929,0.42854,1.51662,1.12787,1.54685,0.0004085,0.0004085,0.0004085
104,10787.3,1.24899,1.14899,1.40556,0.75871,0.806,0.82523,0.46833,1.43989,1.07258,1.52379,0.00040025,0.00040025,0.00040025
105,10890.6,1.25395,1.12579,1.40202,0.7649,0.79431,0.81026,0.45516,1.50295,1.08858,1.57144,0.000392,0.000392,0.000392
106,10994,1.23138,1.09098,1.3755,0.75099,0.77615,0.83605,0.49027,1.4357,1.01802,1.51913,0.00038375,0.00038375,0.00038375
107,11098.2,1.24445,1.07373,1.40267,0.74836,0.82146,0.84598,0.4682,1.51581,1.03278,1.56327,0.0003755,0.0003755,0.0003755
108,11201.5,1.23108,1.08461,1.38712,0.75963,0.81237,0.86291,0.48848,1.45788,1.07036,1.54893,0.00036725,0.00036725,0.00036725
109,11305.5,1.21711,1.07762,1.38083,0.76056,0.79482,0.84938,0.48786,1.4941,1.07618,1.54182,0.000359,0.000359,0.000359
110,11409,1.24004,1.09727,1.39633,0.80548,0.75535,0.84697,0.45518,1.53243,1.04812,1.59287,0.00035075,0.00035075,0.00035075
111,11512.4,1.22233,1.08982,1.38367,0.85557,0.74111,0.85915,0.47354,1.45617,1.0405,1.52306,0.0003425,0.0003425,0.0003425
112,11615.7,1.22173,1.11422,1.38164,0.76514,0.80442,0.86029,0.44539,1.55758,1.09165,1.60126,0.00033425,0.00033425,0.00033425
113,11719.4,1.22381,1.10318,1.38341,0.73122,0.79301,0.82656,0.47637,1.45835,1.03907,1.5353,0.000326,0.000326,0.000326
114,11823.1,1.18589,1.06732,1.37137,0.76227,0.79474,0.83909,0.45249,1.53094,1.07235,1.58333,0.00031775,0.00031775,0.00031775
